Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,5310.69,5402.98,5310.69,5382.71,5069558
2022-01-04,5402.36,5434.78,5377.94,5393.03,4163371
2022-01-05,5412.93,5413.77,5377.33,5406.56,3033954
2022-01-07,5409.01,5438.95,5373.16,5434.91,3787513
2022-01-10,5448.92,5466.23,5426.87,5431.53,4672048
2022-01-11,5452,5510.63,5436.36,5479.55,5856061
2022-01-12,5502.69,5551.88,5502.69,5548.4,6870678
2022-01-13,5555.93,5584.52,5513.53,5541.97,8193976
2022-01-14,5539.63,5539.63,5475.46,5493.94,4373077
2022-01-17,5496.91,5506.73,5467.77,5503.15,2824781
2022-01-18,5500.69,5501.72,5406.01,5406.01,6591953
2022-01-19,5374.86,5403.44,5335.99,5369.59,9506077
2022-01-20,5383.64,5388.04,5296.03,5340.54,5691332
2022-01-21,5313.78,5313.78,5211.98,5228.78,7509364
2022-01-24,5199.65,5229.77,4960.09,5026.64,11313344
2022-01-25,4998.4,5104.15,4998.4,5076.46,6404609
2022-01-26,5076.2,5176.08,5076.2,5149.96,4265082
2022-01-27,5142.82,5185.44,5100.77,5175.74,3203367
2022-01-28,5189.88,5195.48,5084.03,5128.54,3984168
2022-01-31,5145.84,5175.19,5101.89,5106.59,3621841
2022-02-01,5123.32,5200.11,5123.32,5176.84,5060272
2022-02-02,5200.94,5272.47,5181.9,5267.56,4356216
2022-02-03,5280.2,5287.24,5250.24,5276.91,3730741
2022-02-04,5283.27,5299.36,5178.41,5225.86,4341492
2022-02-07,5244.44,5266.82,5188.09,5229.31,4095763
2022-02-08,5242.22,5285.1,5233.68,5258.08,6490036
2022-02-09,5266.37,5276.2,5228.85,5244.77,6798845
2022-02-10,5273.6,5279.86,5202.48,5214.65,4580247
2022-02-11,5205.53,5205.53,5100.91,5180.64,3976010
2022-02-14,5109.47,5109.47,4949.66,5014.58,6250809
2022-02-15,5016.9,5182.24,5016.9,5139.59,4438502
2022-02-16,5166.42,5222.75,5114.65,5143.31,3724053
2022-02-17,5141.59,5152.24,5027.77,5030.31,3671557
2022-02-18,5024.92,5072.76,4992.71,5005.57,2522131
2022-02-21,5002.41,5037.45,4820.8,4863.73,5347546
2022-02-22,4800.79,4907.08,4698.43,4903.24,6440049
2022-02-23,4913.66,4962.62,4793.74,4819.57,5462612
2022-02-24,4568.17,4572.31,4133.55,4253.49,20281785
2022-02-25,4287.98,4586.05,4287.98,4569.02,10312432
2022-02-28,4524.15,4589.49,4420.12,4589.49,12582675
2022-03-01,4590.48,4667.93,4436.46,4456.3,9752606
2022-03-02,4441.01,4479.47,4365.51,4447.97,14073129
2022-03-03,4460.21,4490.26,4390.9,4451.4,13253010
2022-03-04,4434.37,4434.37,4197.76,4237.7,10013463
2022-03-07,4226.95,4235.85,4022.22,4209.48,14692826
2022-03-08,4207.33,4291.35,4126.47,4165.89,8523115
2022-03-09,4205.51,4368.06,4205.51,4368.06,9808547
2022-03-10,4406.99,4435.4,4318.92,4340.29,9562613
2022-03-11,4361.36,4421.77,4336.95,4387.18,9203400
2022-03-14,4411.32,4418.25,4355.17,4375.39,8519273
2022-03-15,4374.44,4413.04,4313.67,4385.62,6325060
2022-03-16,4410.36,4562.83,4410.36,4562.83,9698745
2022-03-17,4585.91,4673.77,4585.91,4654.35,11487188
2022-03-18,4670.88,4678.66,4604.47,4671.82,13573547
2022-03-21,4689.64,4725.93,4655.47,4676.65,7241708
2022-03-22,4691.38,4711.99,4667.51,4711.99,12918641
2022-03-23,4732.32,4755.43,4690.32,4732.89,13440106
2022-03-24,4753.43,4795.82,4743.31,4794.88,14119084
2022-03-25,4809.18,4814.79,4739.72,4771.94,12183405
2022-03-28,4780.87,4807.49,4760.45,4761.97,7528083
2022-03-29,4781.48,4879.14,4744.19,4783.94,14338964
2022-03-30,4802.22,4820.16,4764.77,4795.24,10370830
2022-03-31,4805.38,4819.7,4761.31,4778.07,10305633
2022-04-01,4786.4,4815.09,4770.18,4811.87,10198870
2022-04-04,4817.15,4876.56,4817.15,4840.1,11482865
2022-04-05,4850.22,4872.69,4800.53,4816.33,8450007
2022-04-06,4810.25,4816.15,4720.6,4739.74,12213457
2022-04-07,4749.05,4773.56,4701.31,4701.38,8260822
2022-04-08,4718.01,4739.7,4695,4709.1,6810457
2022-04-11,4722.03,4739.46,4673.51,4720.27,9155946
2022-04-12,4726.71,4729.23,4689.06,4709.11,13433014
2022-04-13,4699.01,4722.96,4680.6,4692.24,6409067
2022-04-14,4701.05,4714.32,4660.3,4671.29,7835017
2022-04-19,4686.28,4706.97,4608.36,4666.22,6102267
2022-04-20,4659.97,4702.78,4644.34,4644.34,6107361
2022-04-21,4675.1,4703.48,4630.54,4631.39,7049730
2022-04-22,4638.41,4638.41,4562.64,4562.64,8949257
2022-04-25,4561.05,4561.05,4438.67,4476.76,15795950
2022-04-26,4486.44,4520.05,4444.09,4444.09,8362572
2022-04-27,4431.14,4431.14,4298.09,4321.17,11601042
2022-04-28,4336.39,4392.83,4336.39,4359.89,8057716
2022-04-29,4388.79,4445.36,4354.14,4370.19,12093789
2022-05-02,4374.13,4374.13,4294.09,4321.64,5397540
2022-05-04,4334.57,4349.13,4295.78,4329.37,9432515
2022-05-05,4363.51,4397.75,4247.45,4261.04,12537864
2022-05-06,4259.37,4259.37,4151.05,4218.78,11553948
2022-05-09,4219.43,4237.55,4153.84,4153.84,7567444
2022-05-10,4157.34,4175.05,4094.34,4144.59,7503545
2022-05-11,4173.58,4174.73,4111.54,4129.85,7863846
2022-05-12,4115.97,4115.97,4025.77,4073.54,9690345
2022-05-13,4088.18,4223,4088.18,4223,6931911
2022-05-16,4231.89,4326.12,4231.89,4271.42,7855436
2022-05-17,4283.15,4360.95,4283.15,4326.88,10226516
2022-05-18,4337.43,4398.18,4315.66,4321.62,10684385
2022-05-19,4293.61,4293.61,4234.53,4256.57,6149791
2022-05-20,4273.37,4305.05,4253.18,4254.54,7206089
2022-05-23,4267.72,4358.39,4267.72,4351.23,7978887
2022-05-24,4350.64,4366.56,4299.59,4317.09,8330108
2022-05-25,4338.89,4357.07,4291.88,4299.98,3938969
2022-05-26,4323.54,4329.9,4288.1,4324.49,5095791
2022-05-27,4336.59,4341.45,4294.58,4320.02,5572885
2022-05-30,4304.5,4371.82,4304.5,4370.43,3790769
2022-05-31,4367.86,4369.71,4335.18,4349.02,5802460
2022-06-01,4351.82,4364.81,4305.99,4335.94,4559410
2022-06-02,4344.71,4345.08,4309.22,4320.48,4309898
2022-06-03,4343.3,4353.27,4289.17,4289.17,4246281
2022-06-06,4305.42,4327.3,4295.5,4320.58,3615169
2022-06-07,4317.34,4317.34,4279.9,4306.65,3507713
2022-06-08,4308.57,4309.98,4222.25,4227.18,7562267
2022-06-09,4219.5,4238.41,4182.96,4183.95,4893310
2022-06-10,4180.48,4180.48,4109.51,4123.58,6840853
2022-06-13,4095.61,4095.61,3988.1,3995.49,9034949
2022-06-14,4013.76,4035.69,3963.85,3979.86,5688550
2022-06-15,3973.12,3992.63,3934.94,3992.63,4749950
2022-06-17,3958.35,4002.23,3933.24,3940.71,16479926
2022-06-20,3959.39,4029.92,3957.86,4026.3,6671936
2022-06-21,4043.81,4105.67,4041.78,4105.67,8066168
2022-06-22,4099.18,4099.18,4007.82,4025.87,5105758
2022-06-23,4033.95,4045.21,3967.27,3967.27,5825595
2022-06-24,3969.23,4037.8,3969.23,4026.24,6566409
2022-06-27,4041.86,4085.99,4041.86,4085.99,4347788
2022-06-28,4089.55,4128.45,4079.55,4107.75,4790789.0501882
2022-06-29,4108.5,4172.25,4075.29,4172.25,5325782
2022-06-30,4141.37,4141.37,4046.58,4069.37,5493033.6905065
2022-07-01,4069.32,4097.55,4060.2,4066.98,4588829
2022-07-04,4070.46,4084.8,4024.83,4060.21,7427043
2022-07-05,4058.91,4101.34,3915.66,3954.91,6385370
2022-07-06,3956.72,3987.9,3910.49,3910.49,10363209
2022-07-07,3939.45,4049.4,3939.45,4049.4,6420628
2022-07-08,4004.38,4036.35,3983.47,4031.42,9190840
2022-07-11,4007.75,4033.67,3984.65,4033.67,14594526
2022-07-12,4019.85,4019.85,3942.04,3948.04,8310447
2022-07-13,3961.24,3987.11,3898.63,3933.37,6061006
2022-07-14,3934.89,3957.12,3871.78,3892.34,9745794
2022-07-15,3895.14,3927.07,3884.85,3913.3,7908923
2022-07-18,3931.56,3984.18,3931.56,3981.08,5584735
2022-07-19,3984.29,4019.38,3963.53,4011.17,9008608
2022-07-20,4023.73,4054.87,4008.41,4053.8,8108504
2022-07-21,4050.35,4053.86,4005.69,4031.73,5117355
2022-07-22,4040.62,4078.82,4034.2,4072.11,5773839
2022-07-25,4071.18,4089.3,4046.07,4057.52,4565932
2022-07-26,4054.89,4060.35,3976.37,3976.37,6224542
2022-07-27,3990.75,4002.2,3933.46,3955.55,7576652
2022-07-28,3970.32,3992.42,3959.75,3980.3,4619865
2022-07-29,3992.8,4151.32,3992.8,4151.32,5422889
2022-08-01,4142.42,4155.51,4118.25,4136.22,4509512
2022-08-02,4132.57,4139.79,4102.27,4105.73,7485045
2022-08-03,4121.31,4197.7,4102.83,4197.7,6934875
2022-08-04,4186.85,4186.85,4127.62,4127.62,5352435
2022-08-05,4141.61,4166.76,4104.71,4124.32,5748037
2022-08-08,4131.07,4201.72,4119.3,4188.73,3988779
2022-08-09,4197.49,4219.95,4172.18,4181.2,5585011
2022-08-10,4186.42,4186.42,4129.77,4181.55,5597811
2022-08-11,4178.71,4228.83,4178.71,4220.12,5281706
2022-08-12,4227.81,4255.17,4216.46,4228.93,3086743
2022-08-16,4241.67,4300.99,4238.22,4279.46,5757604
2022-08-17,4288.68,4295.77,4197.49,4214.11,7344198
2022-08-18,4210.93,4214.41,4186.64,4208.13,8700917
2022-08-19,4215.22,4216.94,4118.95,4125.86,6245132
2022-08-22,4115.59,4116.15,4008.74,4040.22,7569954
2022-08-23,4032.02,4072.21,4018.59,4024.53,5869416
2022-08-24,4035.39,4036.7,3949.37,3969.82,5779285
2022-08-25,3985.86,4035.85,3978.59,4006.49,6075599
2022-08-26,4013.62,4025.67,3944.25,3959.61,6855926
2022-08-29,3951.84,3951.84,3848.04,3860.98,7922459
2022-08-30,3877.67,3923.92,3795.81,3795.81,7811248
2022-08-31,3796.13,3859.79,3787.83,3838.57,7757888
2022-09-01,3828.67,3835.93,3769.28,3777.8,8041516
2022-09-02,3791.48,3858.81,3791.48,3858.81,8264875
2022-09-05,3863.28,3877.48,3824.93,3869.16,5141311
2022-09-06,3865.54,3896.39,3818.05,3841.04,7262849
2022-09-07,3834.96,3882.8,3794.3,3872.58,8021753
2022-09-08,3890.15,3934.25,3888.38,3915.93,7579109
2022-09-09,3923.19,4004.05,3923.19,3993.46,6781457
2022-09-12,4002.77,4023.78,3973.61,3995.05,6647208
2022-09-13,4009.7,4026.74,3895.88,3901.79,6484951
2022-09-14,3896.18,3923.61,3867.07,3903.37,5872832
2022-09-15,3918.38,3945.11,3903.75,3909.41,8736810
2022-09-16,3911.15,3912,3774.61,3775.03,13248539
2022-09-19,3779.61,3822.31,3771.55,3822.31,4261865
2022-09-20,3826.81,3847.03,3747.45,3768.31,4448690
2022-09-21,3761.57,3762.16,3710.43,3752.25,4880397
2022-09-22,3754.06,3781.66,3729.16,3777.52,5720906
2022-09-23,3782.07,3791.67,3659.82,3678,5420467
2022-09-26,3657.69,3657.69,3544,3597.78,11482729
2022-09-27,3589.35,3647.28,3589.35,3627.95,6617297
2022-09-28,3620.48,3620.48,3515.58,3612.9,7308692
2022-09-29,3612.98,3627.49,3493.06,3503.5,6209870
2022-09-30,3503.32,3552.54,3502.09,3552.54,6645202
2022-10-03,3539.92,3600.8,3489.63,3600.8,5523483
2022-10-04,3615.44,3713.81,3615.44,3713.81,6023658
2022-10-05,3715.45,3715.45,3625.36,3626.24,3821556
2022-10-06,3643.73,3686.11,3643.73,3667.1,3216963
2022-10-07,3657.98,3663.75,3623.02,3633.99,4598972
2022-10-10,3630.09,3630.09,3550.29,3561.67,5861720
2022-10-11,3569.59,3611.85,3539,3593.37,7165161
2022-10-12,3601.63,3614.59,3572.99,3584.05,5251264
2022-10-13,3586.89,3603.77,3530.32,3581.95,6373311
2022-10-14,3617.17,3657.37,3587.46,3597.96,5993257
2022-10-17,3613.11,3632.98,3581.17,3632.98,3652371
2022-10-18,3642.58,3665.41,3619.54,3637.54,7419198
2022-10-19,3641,3642.3,3566.93,3579.61,6746769
2022-10-20,3586.6,3634.17,3563.19,3621.09,7825714
2022-10-21,3624.02,3625.92,3526.69,3558.81,7186240
2022-10-24,3590.91,3617.02,3566.53,3591.31,10319894
2022-10-25,3605.65,3647.89,3589.41,3620.91,9892644
2022-10-26,3630.72,3711.38,3630.72,3711.38,9044835
2022-10-27,3723.41,3748.66,3698.36,3734.09,7372895
2022-10-28,3733.23,3764.68,3684.83,3747.1,6054564
2022-10-31,3766.74,3824.04,3760.53,3824.04,7133948
2022-11-02,3835.14,3861.79,3826.94,3832.98,13563557
2022-11-03,3818.3,3819.72,3782.99,3799.19,9590194
2022-11-04,3810.49,3937.51,3810.49,3937.51,11175509
2022-11-07,3947.53,4010.33,3927.03,3934.24,20237551
2022-11-08,3940.22,3951.85,3906.41,3931.29,14188441
2022-11-09,3947.85,3969.49,3915.54,3934.35,12720538
2022-11-10,3932.64,3966.5,3864,3958.49,17731630
2022-11-14,3976.48,4052.07,3976.48,4013.7,19867625
2022-11-15,4035.1,4043.44,3959.72,4007.62,19413066.841118
2022-11-16,3976.92,3989.66,3935.35,3965.01,15231377
2022-11-17,3962.51,3967.17,3896.47,3939.24,10352159
2022-11-18,3945.81,3993.2,3916.02,3972.77,10851557
2022-11-21,3979.33,3979.33,3912.63,3913.54,10218310
2022-11-22,3913.77,3988.04,3903.15,3979.74,13279182
2022-11-23,3989.43,4015.49,3973.98,3982.71,12782981
2022-11-24,3992.99,4016.9,3986.13,4016.9,10809873
2022-11-25,4027.38,4073.23,4005.49,4059.51,8689206
2022-11-28,4064.96,4071.83,4034.36,4070.32,7782962
2022-11-29,4076.04,4087.13,4043.67,4087.13,11302366
2022-11-30,4098.66,4142.91,4072.11,4108.81,13015647
2022-12-01,4136.36,4159.61,4120.85,4150.31,13216901
2022-12-02,4152.86,4170.01,4122.35,4170.01,7886711
2022-12-05,4172.75,4199.5,4142.44,4143.76,7257477
2022-12-06,4138.68,4138.68,4049,4049,7723213
2022-12-07,4047.49,4079.81,4036.21,4061.8,6081392
2022-12-08,4062.92,4062.92,4026.04,4040.17,6450613
2022-12-09,4045.65,4054.41,4031.34,4045.72,10111589
2022-12-12,4048.26,4083,4031.92,4082.33,5096203
2022-12-13,4088.74,4148.61,4062.69,4144.54,7662745
2022-12-14,4138.77,4172.08,4133.78,4145.72,5124227
2022-12-15,4145.72,4145.72,4046.11,4055.73,12116357
2022-12-16,4047.55,4054.1,3992.16,4036.25,15864215
2022-12-19,4034.96,4071.29,4034.7,4050.78,7763116
2022-12-20,4045.42,4102.04,4019,4102.04,7069391
2022-12-21,4107.21,4140.12,4092.31,4139.11,5299817
2022-12-22,4144.48,4152.37,4114.62,4119.27,6620592
2022-12-23,4123.54,4129.9,4087.45,4099.89,5119059
2022-12-27,4096.39,4121.15,4055.39,4069.05,6698447
2022-12-28,4067.07,4071.16,4050.44,4069.27,8280085
2022-12-29,4065.92,4129.09,4062.78,4128.48,3990288
2022-12-30,4129.44,4158.9,4114.08,4154.32,6701517
2023-01-02,4175.99,4210.03,4168.56,4198.67,5785621
2023-01-03,4207.34,4323.68,4207.34,4303.33,13676800
2023-01-04,4314.46,4391.91,4314.46,4389.26,12162980
2023-01-05,4399.12,4457.05,4371.53,4397.18,12279185
2023-01-09,4429.38,4475.25,4420.44,4448.1,12230899
2023-01-10,4441.95,4462.95,4421.74,4448.73,10020931
2023-01-11,4457.39,4486.06,4392.85,4394.24,15267728
2023-01-12,4394.28,4445.44,4393.76,4427.26,12838830
2023-01-13,4430.12,4444.25,4395.66,4407.17,5476270
2023-01-16,4421.65,4426.63,4380.77,4413.34,5611598
2023-01-17,4419.69,4422.92,4345.24,4345.24,6892990
2023-01-18,4349.21,4372.61,4323.91,4328.56,7960577
2023-01-19,4328.43,4328.43,4267.19,4312.67,8138447
2023-01-20,4324.13,4367.81,4317.47,4355.86,5246715
2023-01-23,4373.22,4405.61,4360.29,4390,11225850
2023-01-24,4397.79,4446.29,4376.39,4380.85,13322207
2023-01-25,4387.79,4387.79,4294.15,4305.16,11068808
2023-01-26,4315.43,4358.82,4312.98,4339.21,7153024
2023-01-27,4346.15,4360.46,4336.93,4342.89,8207420
2023-01-30,4346.08,4346.08,4268.53,4270.71,6522649
2023-01-31,4281.07,4421.96,4276.53,4412,13084926
2023-02-01,4414.49,4426.71,4371.36,4374.2,16160760
2023-02-02,4405.53,4426.64,4375.76,4421.3,9955949
2023-02-03,4415.76,4445.17,4403.77,4434.36,8023313
2023-02-06,4431.3,4431.3,4361.53,4366.51,6709167
2023-02-07,4369.13,4386.79,4345.11,4376.62,5242395
2023-02-08,4382.79,4409.86,4382.79,4403.59,5548611
2023-02-09,4417.83,4491.92,4417.83,4472.59,5924526
2023-02-10,4474.27,4474.27,4367.81,4390.55,9631032
2023-02-13,4398.67,4413.54,4362.75,4381.81,7054660
2023-02-14,4386.62,4415.85,4384.61,4393.59,6966743
2023-02-15,4394.7,4411.73,4373.99,4409.48,4535988
2023-02-16,4426.12,4460.24,4389.72,4451.18,13711202
2023-02-17,4447.5,4447.5,4417.84,4441.12,3928644
2023-02-20,4452.78,4455.02,4425.59,4438,3511440
2023-02-21,4443.07,4452.12,4361.88,4373.65,4970083
2023-02-22,4370.89,4370.89,4307.93,4329.62,8101021
2023-02-23,4337.65,4376.13,4334.14,4373.67,6162687
2023-02-24,4383.31,4394.73,4340.46,4365.76,5560536
2023-02-27,4362.51,4384.37,4347.05,4367.48,4953667
2023-02-28,4373.4,4421.49,4350.43,4421.49,6766052
2023-03-01,4423.53,4478.83,4421.45,4462.97,7412547
2023-03-02,4462.5,4462.5,4402.97,4405.61,10870653
2023-03-03,4417.75,4465.04,4417.75,4454.68,8335117
2023-03-06,4468.38,4573.39,4468.38,4562.43,9482519
2023-03-07,4568.76,4609.33,4551.45,4586.61,10262976
2023-03-08,4581.81,4621.38,4567.7,4601.93,11816202
2023-03-09,4608.44,4657.37,4606.39,4636.65,10046596
2023-03-10,4609.98,4609.98,4529.47,4573.09,12458481
2023-03-13,4550.34,4592.54,4433.14,4490.73,11717399
2023-03-14,4479.43,4528.45,4462.59,4519.9,7558726
2023-03-15,4522.92,4547.23,4385.08,4388.34,11362628
2023-03-16,4392.23,4428.45,4344.7,4424.95,11990081
2023-03-17,4442.42,4469.06,4369.66,4416.11,19595068
2023-03-20,4411.87,4416.21,4330.49,4402.71,8010244
2023-03-21,4414.15,4484.49,4414.15,4428.26,8249311
2023-03-22,4436.88,4447.6,4397.61,4403,6727433
